home_WC_last5,home_D_PTS_last5,home_D_REB_last5,home_D_AST_last5,home_FT_PCT_last5,home_FG_PCT_last5,home_FG3_PCT_last5,away_WC_last5,away_D_PTS_last5,away_D_REB_last5,away_D_AST_last5,away_FT_PCT_last5,away_FG_PCT_last5,away_FG3_PCT_last5,HOME_WINS,GAME_DATE_EST
3,-3.1,5.2,2.2,0.6874,0.4405,0.3291,5,0.8,-6.4,-1.8,0.7238,0.4382,0.317,1,2003-11-15
3,-3.9,-3.2,-0.9,0.739,0.4327,0.37649999999999995,5,2.2,-2.5,5.6,0.7358,0.4149,0.3413,0,2003-11-15
4,3.4,1.5,-0.3,0.7134,0.43949999999999995,0.3308,5,1.7,-0.3,0.0,0.7503,0.3806,0.2891,0,2003-11-15
5,-6.1,-1.6,-2.1,0.7708999999999999,0.3821,0.2969,6,3.2,1.8,-1.2,0.7576,0.43899999999999995,0.3872,1,2003-11-16
6,4.6,2.1,0.2,0.7777000000000001,0.43979999999999997,0.2948,6,0.3,4.8,0.2,0.7392000000000001,0.4507,0.3718,1,2003-11-17
5,1.2,-6.0,-1.8,0.7081999999999999,0.43899999999999995,0.32089999999999996,6,5.2,1.6,-1.1,0.777,0.42889999999999995,0.3789,0,2003-11-17
2,-6.1,2.0,-2.2,0.8493999999999999,0.42029999999999995,0.3061,5,0.1,0.7,1.8,0.7222000000000001,0.4351,0.2859,1,2003-11-17
3,-5.1,-3.1,-1.0,0.7407,0.4359,0.36689999999999995,3,-0.8,-0.6,-2.5,0.7013,0.4226,0.3238,0,2003-11-17
5,-1.4,4.1,-0.5,0.7781,0.4527,0.3151,1,-8.1,-6.0,-3.2,0.7068,0.40069999999999995,0.3621,1,2003-11-17
3,-3.7,-0.6,-2.9,0.7951,0.4136,0.29910000000000003,4,-8.0,-1.2,-2.4,0.7386,0.4338,0.4263,1,2003-11-18
5,3.4,1.6,0.2,0.7556,0.4427,0.3113,3,-5.5,-3.9,-1.1,0.7542,0.4384,0.3685999999999999,0,2003-11-18
6,4.5,2.1,-1.4,0.7868,0.42400000000000004,0.3474,8,5.7,3.2,3.3,0.6667,0.45199999999999996,0.2668,1,2003-11-18
5,1.5,-3.0,5.5,0.7546,0.4164,0.3607,7,2.8,-1.6,-0.3,0.7504,0.4589,0.39039999999999997,0,2003-11-18
5,-2.8,6.0,-1.4,0.7449,0.4423,0.36219999999999997,3,-8.7,3.4,-3.6,0.7178,0.3988,0.32089999999999996,1,2003-11-19
5,-1.9,7.3,-0.5,0.7855,0.4316,0.25949999999999995,6,3.2,-2.7,7.4,0.7861,0.46449999999999997,0.41980000000000006,0,2003-11-19
5,-1.0,-0.4,-5.0,0.7422,0.3672,0.35960000000000003,5,3.7,1.4,0.3,0.7698,0.4377,0.3209,1,2003-11-19
7,8.0,2.6,0.2,0.7846,0.4285,0.3899,4,0.2,1.4,-1.5,0.6881,0.45220000000000005,0.2843,1,2003-11-19
3,-4.0,3.7,-1.4,0.8524,0.41950000000000004,0.3308,7,3.1,1.3,2.0,0.6893,0.4483,0.24429999999999996,0,2003-11-19
6,3.1,-5.6,3.0,0.7086,0.42779999999999996,0.3177,7,5.7,3.9,-1.3,0.7958999999999999,0.44159999999999994,0.3363,0,2003-11-19
5,-6.2,-1.6,-1.2,0.7827,0.3856,0.2951,4,-1.1,-6.1,-2.6,0.729,0.4265,0.2859,0,2003-11-19
4,0.6,-0.3,-1.6,0.7096,0.4258,0.3228,4,-0.9,5.6,2.9,0.6965,0.442,0.29209999999999997,1,2003-11-19
5,1.3,0.2,1.8,0.7458,0.42589999999999995,0.27880000000000005,7,2.6,-0.1,-0.7,0.7495999999999999,0.46719999999999995,0.4077,0,2003-11-19
7,6.9,1.3,2.1,0.7744,0.44930000000000003,0.31179999999999997,6,6.1,2.2,2.4,0.7273,0.4088,0.3625,1,2003-11-20
4,-0.2,-0.1,-1.3,0.7889,0.4277,0.2858,0,-8.5,-7.7,-3.4,0.7274,0.40679999999999994,0.3746,1,2003-11-20
6,2.6,-3.3,7.4,0.7882,0.47190000000000004,0.43289999999999995,0,-9.0,-5.4,-4.1,0.7176,0.4077,0.3693,1,2003-11-21
7,4.1,-4.1,0.6,0.7157,0.4447,0.3752,5,1.3,-6.9,2.9,0.7207000000000001,0.42219999999999996,0.31729999999999997,0,2003-11-21
6,-2.0,5.2,-1.7,0.742,0.4473,0.36219999999999997,7,6.5,1.9,-1.5,0.7659,0.4234,0.3861,1,2003-11-21
4,0.8,1.4,-0.9,0.6893,0.4584,0.2781,3,-6.5,3.2,-1.4,0.7053,0.4069,0.3181,1,2003-11-21
7,4.8,-0.1,1.9,0.6988000000000001,0.44580000000000003,0.26639999999999997,3,-9.9,-1.8,-4.0,0.7405,0.4345,0.3896,1,2003-11-21
5,-0.2,8.8,-0.5,0.7785,0.43470000000000003,0.2488,5,3.5,1.0,0.6,0.7537,0.4338,0.3449,1,2003-11-21
4,-1.1,4.5,2.4,0.716,0.44580000000000003,0.29209999999999997,5,2.9,-0.4,2.9,0.7729999999999999,0.44020000000000004,0.358,0,2003-11-21
5,4.6,1.8,3.1,0.7243999999999999,0.41019999999999995,0.3435,4,-4.1,-2.7,-0.2,0.7703,0.44420000000000004,0.3389,1,2003-11-21
7,5.2,5.0,-1.8,0.7899999999999999,0.4462,0.372,3,-5.9,3.3,-1.8,0.8699999999999999,0.4224,0.3258,1,2003-11-21
7,3.2,1.1,-0.9,0.7182000000000001,0.4589,0.3936,8,5.4,-0.5,2.3,0.7508,0.4246,0.3474,0,2003-11-21
5,0.6,-6.1,-1.7,0.7323000000000001,0.42669999999999997,0.3359,4,-1.8,-1.8,0.5,0.7489,0.41579999999999995,0.2725,1,2003-11-21
5,-1.0,-0.1,-5.5,0.7497,0.3778,0.3378,4,-0.8,-0.1,-2.9,0.7203,0.41600000000000004,0.3232,1,2003-11-21
5,1.5,-3.7,4.4,0.772,0.4147,0.3478,4,-7.1,-2.8,-0.2,0.7816,0.3837,0.3006,0,2003-11-22
4,-7.6,-2.0,-2.3,0.7795,0.4311999999999999,0.31389999999999996,4,-0.6,5.1,2.6,0.7184,0.43920000000000003,0.2989,1,2003-11-22
3,-5.6,2.7,-1.4,0.8662000000000001,0.42110000000000003,0.3412,6,2.2,-4.4,-1.7,0.7666999999999999,0.42469999999999997,0.3262,1,2003-11-22
7,6.4,1.6,1.4,0.7706,0.4426,0.3202,6,2.8,1.0,-2.3,0.7515,0.3895,0.3499,1,2003-11-22
