home_WC_last5,home_D_PTS_last5,home_D_REB_last5,home_D_AST_last5,home_FT_PCT_last5,home_FG_PCT_last5,home_FG3_PCT_last5,away_WC_last5,away_D_PTS_last5,away_D_REB_last5,away_D_AST_last5,away_FT_PCT_last5,away_FG_PCT_last5,away_FG3_PCT_last5,home_days_passed,away_days_passed,HOME_WINS,GAME_DATE_EST
1,-5.0,-6.4,-5.0,0.7554000000000001,0.3836,0.2466,1,-17.0,-0.6,-5.0,0.7083999999999999,0.34400000000000003,0.4154,2.0,2.0,0,2003-11-05
2,4.4,1.6,-0.2,0.6946,0.44279999999999997,0.3228,4,7.4,4.2,-0.2,0.8084,0.4646,0.291,4.0,2.0,1,2003-11-05
2,-1.2,-6.6,-1.6,0.7026,0.42799999999999994,0.25379999999999997,4,2.2,-2.0,4.2,0.6946,0.4372,0.39,2.0,2.0,0,2003-11-05
3,8.8,-2.4,8.0,0.7432000000000001,0.418,0.30179999999999996,4,1.4,-2.0,1.8,0.66,0.4064,0.2672,2.0,2.0,0,2003-11-06
1,-8.2,0.6,1.8,0.8443999999999999,0.40619999999999995,0.18939999999999999,4,5.4,-5.8,3.0,0.8006,0.47000000000000003,0.4242,2.0,2.0,1,2003-11-07
1,-4.8,-5.4,-3.0,0.7354,0.37560000000000004,0.3266,2,-1.8,-5.4,0.8,0.7667999999999999,0.43899999999999995,0.32799999999999996,2.0,2.0,0,2003-11-07
2,-1.0,1.0,2.2,0.7438,0.46419999999999995,0.244,2,3.2,-1.8,7.2,0.7722,0.40679999999999994,0.39459999999999995,2.0,1.0,0,2003-11-07
2,2.8,0.4,-0.2,0.7426,0.42699999999999994,0.3184,4,0.0,5.0,-1.6,0.8029999999999999,0.3732,0.30379999999999996,2.0,1.0,1,2003-11-07
4,1.8,-3.2,1.4,0.7068000000000001,0.425,0.30720000000000003,1,-8.6,3.8,1.4,0.6526,0.4382,0.2898,1.0,2.0,1,2003-11-07
4,8.8,4.8,-0.8,0.7502,0.43,0.36979999999999996,3,9.6,5.0,1.2,0.759,0.45599999999999996,0.3496,2.0,2.0,1,2003-11-07
1,-5.8,-6.8,-5.0,0.8032,0.37899999999999995,0.3234,3,3.8,-3.8,5.0,0.6744,0.4122,0.2966,2.0,2.0,1,2003-11-07
2,-15.0,-1.4,-4.8,0.7524,0.36100000000000004,0.373,2,-1.2,-5.8,0.4,0.6898,0.4436,0.2722,2.0,2.0,0,2003-11-07
4,2.2,-1.0,1.8,0.7352000000000001,0.422,0.3366,5,8.8,5.8,5.2,0.6412,0.4566,0.3006,2.0,1.0,1,2003-11-07
3,-1.6,2.6,-0.2,0.798,0.45840000000000003,0.3024,2,0.0,-8.2,3.8,0.7108000000000001,0.3934,0.2728,1.0,1.0,1,2003-11-08
0,-13.4,2.0,-6.8,0.777,0.3908,0.3222,2,2.8,-3.2,1.8,0.7826,0.44079999999999997,0.3946,4.0,1.0,0,2003-11-08
0,-9.4,4.8,1.2,0.6884,0.4394,0.3398,3,9.0,2.0,1.0,0.7554000000000001,0.43479999999999996,0.3128,1.0,1.0,1,2003-11-08
4,5.0,0.4,1.0,0.7405999999999999,0.4718,0.409,2,-14.2,-3.0,-3.2,0.7298,0.38300000000000006,0.40679999999999994,1.0,1.0,0,2003-11-08
3,9.6,5.0,1.0,0.7426,0.4553999999999999,0.3416,2,-4.0,5.8,1.0,0.849,0.42779999999999996,0.2406,1.0,1.0,1,2003-11-08
3,6.4,2.4,-2.0,0.7346,0.4462,0.403,0,-11.0,-7.8,-3.6,0.7325999999999999,0.3796,0.33540000000000003,4.0,1.0,1,2003-11-08
